순번,분류,이름,런치,디너,예약,소재지,Latitude,Longitude,링크
71,미들급,스시레이와,"120,000","120,000",전화,서울 강남구 언주로147길 18 영동빌딩 1층,37.519781,127.0327509,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%A0%88%EC%9D%B4%EC%99%80/place/1158159435?c=14140962.4996429,4511838.9139606,15,0,0,0,dh"
72,하이엔드급,스시스미레,"100,000","220,000",캐치테이블,서울 강남구 청담동 88-6,37.5245905,127.0405571,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%8A%A4%EB%AF%B8%EB%A0%88/place/1938359158?c=14141626.5463261,4512488.6287010,15,0,0,0,dh"
73,미들급,스시모토이,"100,000","200,000",전화,"서울 강남구 청담동20-2, 2층",37.5223903,127.0423479,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%AA%A8%ED%86%A0%EC%9D%B4/place/1866087991?c=14142087.5571529,4512956.8054992,14,0,0,0,dh"
74,미들급,스시기요이,"100,000","200,000",전화,서울 강남구 언주로152길 15-6 3층,37.5231962,127.0348687,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EA%B8%B0%EC%9A%94%EC%9D%B4/place/1066956495?c=14140530.1527016,4512292.7588160,14,0,0,0,dh"
75,미들급,사토시,"100,000","200,000",캐치테이블,서울 강남구 언주로170길 27 2층,37.5267429,127.0358887,"https://map.naver.com/v5/search/%EC%82%AC%ED%86%A0%EC%8B%9C/place/1222955138?c=14140862.1760432,4512861.2592139,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
76,하이엔드급,스시전 청담,"100,000","210,000",네이버예약,서울 강남구 압구정로71길 4 1층,37.5268623,127.0457029,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%A0%84/place/1226804311?c=14142202.6653432,4512802.9152563,15,0,0,0,dh"
77,하이엔드급,스시마이,"120,000","250,000",전화,서울 강남구 언주로168길 6 2층,37.5263168,127.0339076,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%A7%88%EC%9D%B4/place/649005585?c=14140420.2744735,4512732.2717286,14,0,0,0,dh"
78,하이엔드급,스시기요세,"130,000","250,000",네이버예약 / 캐치테이블,서울 강남구 압구정로46길 73 2층,37.5239261,127.03664,"https://map.naver.com/v5/entry/place/567265782?c=14141596.0208901,4512397.1287491,19,0,0,0,dh"
79,하이엔드급,스시결,"120,000","220,000",캐치테이블,서울 강남구 언주로168길 16,37.5261187,127.0349193,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EA%B2%B0/place/1095021610?c=14140533.9579081,4512702.0068541,14,0,0,0,dh"
80,하이엔드급,스시히노와,"130,000","230,000",캐치테이블,서울 강남구 도산대로81길 45 3층,37.5269977,127.0461763,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%ED%9E%88%EB%85%B8%EC%99%80/place/1471202092?c=14141649.5291433,4512900.7841933,15.46,0,0,0,dh&entry=plt&isCorrectAnswer=true"
81,하이엔드급,스시아오타,"130,000","260,000",전화,서울 강남구 선릉로145길 5-12 1층 101호,37.52073,127.0392886,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%95%84%EC%98%A4%ED%83%80/place/1612372634?c=14141485.6155552,4511946.4035316,15,0,0,0,dh"
82,하이엔드급,스시선수,"120,000","250,000",전화,서울 강남구 도산대로45길 6 호림아트센터 2빌딩,37.5225343,127.0360176,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%84%A0%EC%88%98/place/31564434?c=14140692.5813867,4512240.2083590,14,0,0,0,dh"
83,하이엔드급,스시코우지,"120,000","230,000",전화,서울 강남구 청담동 1-1,37.522897,127.0398344,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%BD%94%EC%9A%B0%EC%A7%80/place/34550318?c=14141413.9558412,4512044.3384741,15,0,0,0,dh"
84,하이엔드급,스시타츠,"120,000","250,000",전화,서울 강남구 도산대로28길 18,37.5180272,127.0281988,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%ED%83%80%EC%B8%A0/place/19827949?c=14139784.8916758,4511571.3843616,14,0,0,0,dh"
85,하이엔드급,스시쿠루미,"121,000","275,000",전화,서울 강남구 선릉로146길 33,37.521872,127.0425423,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%BF%A0%EB%A3%A8%EB%AF%B8/place/1105981193?c=14141375.7373270,4512101.6662453,14,0,0,0,dh"
86,하이엔드급,스시렌,"130,000","250,000",캐치테이블,서울 강남구 선릉로146길 27-8 2F,37.5222638,127.042311,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%A0%8C/place/1426559706?c=14142143.3483143,4512143.5682267,17,0,0,0,dh&placePath=%3Fentry%253Dbmp"
87,하이엔드급,스시마츠모토,"130,000","250,000",매달 1일 전화에약,서울 강남구 도산대로75길 5 102호,37.5245432,127.0459553,"https://map.naver.com/v5/entry/place/1645291536?c=14142209.3786668,4512565.0657293,15,0,0,0,dh"
88,하이엔드급,스시요아케,"150,000","290,000",전화,서울 강남구 도산대로45길 10-11,37.5234991,127.0368683,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%9A%94%EC%95%84%EC%BC%80/place/1825583145?c=14140749.9091580,4512335.7546444,14,0,0,0,dh"
89,하이엔드급,스시하네,"150,000","300,000",확인필요,서울 강남 언주로 172길 14 1층(네이버등록 X),37.5275744,127.0348666,"https://map.naver.com/v5/search/%EC%84%9C%EC%9A%B8 %EA%B0%95%EB%82%A8 %EC%96%B8%EC%A3%BC%EB%A1%9C 172%EA%B8%B8 14 1%EC%B8%B5/address/14141462.45151693,4512908.695368167,%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C %EA%B0%95%EB%82%A8%EA%B5%AC %EC%96%B8%EC%A3%BC%EB%A1%9C172%EA%B8%B8 14,new?c=14141430.7598553,4512914.0232333,19,0,0,0,dh"
90,하이엔드급,더나인클럽,"150,000","300,000",확인필요,서울 강남구 선릉로146길 33,37.521872,127.0425423,"https://map.naver.com/v5/search/%EB%8D%94%EB%82%98%EC%9D%B8%ED%81%B4%EB%9F%BD/place/1753896143?c=14141027.6487178,4512863.7639560,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
91,하이엔드급,스시상현,"150,000","330,000",쿠루미에 전화해서 스시상현으로 예약,"서울 강남구 도산대로70길 24 지하 1층, 2층",37.5220678,127.0450286,https://naver.me/FlP9mybL
92,하이엔드급,스시인,"160,000","270,000",불가,서울 강남구 압구정로42길 49,37.5256156,127.0345445,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%9D%B8/place/37870219?c=14141244.3611847,4512562.6770721,15,0,0,0,dh"
93,하이엔드급,스시코지마,"200,000","380,000",전화,서울 강남구 압구정로60길 21 분더샵 6층,37.5266,127.042,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%BD%94%EC%A7%80%EB%A7%88/place/35877528?c=14141313.6322416,4512660.6120146,14,0,0,0,dh"
94,엔트리급,조리인, X ,"99,000",전화,서울 강남구 도산대로53길 16 3층,37.5241781,127.0385928,"https://map.naver.com/v5/search/%EC%A1%B0%EB%A6%AC%EC%9D%B8/place/1163179971?c=14141409.1785269,4512426.5236155,15,0,0,0,dh"
95,하이엔드급,스시카이신, X ,"295,000",전화,서울 강남구 도산대로100길 12 우리빌딩 2층,37.5237619,127.0517575,"https://map.naver.com/v5/entry/place/77778800?c=14142856.7047501,4512464.7421296,15,0,0,0,dh"
96,미들급,어성일식,"40,000 / 45,000","110,000",전화,서울 강남구 언주로 843 2층,37.5256942,127.0329234,"https://map.naver.com/v5/search/%EC%96%B4%EC%84%B1%EC%9D%BC%EC%8B%9D/place/1886342920?c=14140776.1843864,4512643.8914147,15,0,0,0,dh"
97,엔트리급,아루히,"33,000","35,000",네이버예약,서울 영등포구 여의나루로 42 2층,37.5213559,126.9249795,https://naver.me/GfaMZXmj
98,엔트리급,아루히 니와, X ,"33,000",캐치테이블,"서울 영등포구 여의나루로 42 2층 229, 230호",37.5213559,126.9249795,"https://map.naver.com/v5/search/%EC%95%84%EB%A3%A8%ED%9E%88/place/1675324155?c=14128758.5042484,4512044.7434395,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
99,엔트리급,스시다정,"35,500","59,500",캐치테이블,서울 영등포구 국제금융로 70 지하1층 19호,37.5214625,126.9306592,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%8B%A4%EC%A0%95/place/1239371307?c=14129393.9492977,4512048.0698659,15,0,0,3,dh&placePath=%3Fentry%253Dbmp"
100,엔트리급,스시미소,"45,000","80,000",네이버예약/ 전화 / 문자,서울 영등포구 국회대로74길 20 지하1층,37.529587,126.921526,https://map.naver.com/v5/entry/place/1429085190
101,엔트리급,스시마카세(여의도),"50,000","100,000",캐치테이블,서울 영등포구 여의대방로65길 17 206~208호,37.5197067,126.9292034,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%A7%88%EC%B9%B4%EC%84%B8/place/1769859811?c=14128698.4886001,4511802.3662988,14.9,0,0,0,dh&entry=plt&placePath=%3Fentry%253Dbmp"
102,엔트리급,스시젠,"55,000","89,000",네이버예약,서울 영등포구 의사당대로 127 지하 11호,37.5213559,126.9249795,"https://map.naver.com/v5/entry/place/1451225823?c=14129142.9902801,4511895.4249944,17,0,0,0,dh"
103,미들급,스시키무,"65,000","110,000",캐치테이블,서울 영등포구 국제금융로 86 롯데캐슬 아이비 지하1층 119호,37.5199093,126.9317832,https://naver.me/IIqffslP
104,엔트리급,스시아이,"55,000","99,000",전화,서울 영등포구 국회대로76길 18 오성빌딩,37.5299272,126.922226,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%95%84%EC%9D%B4/place/35781874?c=14128453.1022326,4513238.6670410,15,0,0,0,dh"
105,미들급,타마스시,"60,000","120,000",확인필요,서울 영등포구 은행로 30 1층,37.5281538,126.9226486,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%ED%83%80%EB%A7%88/place/20083721?c=14128508.0413467,4512995.0240134,15,0,0,0,dh"
106,미들급,스시센시,"66,000 / 130,000","99,000 / 130,000",전화,서울 영등포구 여의대방로67길 8 고려빌딩 1층 108호,37.5195203,126.9311122,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%84%BC%EC%8B%9C/place/37722002?c=14128959.4975450,4511861.6062033,15,0,0,0,dh"
107,미들급,제이레스토랑,"55,000","150,000",네이버예약,서울 영등포구 여의도동 17-6,37.5271582,126.9168489,"https://map.naver.com/v5/search/%EC%A0%9C%EC%9D%B4%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91/place/1373641454?c=14127812.9421207,4512550.7337865,13,0,0,0,dh"
108,미들급,스시아라타,"80,000","150,000",캐치테이블,서울 영등포구 국제금융로8길 16 지하1층 B124호,37.5212571,126.9288713,https://naver.me/5dxyLLdI
109,미들급,스시타카,"80,000","160,000",캐치테이블,서울 영등포구 국제금융로2길 37 2층 206-2호,37.5229056,126.9242728,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%ED%83%80%EC%B9%B4/place/1031575486?c=14128916.6669809,4512257.2017437,16,0,0,0,dh"
110,미들급,스시온정(舊혜정),"70,000","170,000",전화 / 문자,서울 영등포구 여의대방로 376 나라키움빌딩 3층 309호,37.5035749,126.9192153,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%ED%98%9C%EC%A0%95/place/1224713781?c=14128988.1614306,4511595.2709329,14,0,0,0,dh"
111,미들급,하쯔호,"60,000","120,000",확인필요,서울 영등포구 여의동로 213 금호리첸시아 지하1층,37.5184931,126.9395997,"https://map.naver.com/v5/entry/place/34625307?c=14130793.9862238,4511654.6887791,18,0,0,0,dh"
112,미들급,슈치쿠,"130,000","200,000",네이버예약,서울 영등포구 63로 50 58층,37.5194647,126.9398326,"https://map.naver.com/v5/search/%EC%8A%88%EC%B9%98%EC%BF%A0/place/11679247?c=14131063.9044799,4511893.8530746,14,0,0,0,dh"
113,엔트리급,카쿠스시,"50,000","90,000","인스타DM,전화",서울 영등포구 당산로 222 지하1층 120호,37.533212,126.9022778,"https://map.naver.com/v5/search/%EC%B9%B4%EC%BF%A0%EC%8A%A4%EC%8B%9C/place/1672914530?c=14126241.6818810,4513701.2380071,15,0,0,0,dh&placePath=%3Fentry%253Dbmp"
114,미들급,나카지마고에몽,"100,000","120,000",캐치테이블,서울 영등포구 국회대로54길 10 아크로타워스퀘어 상가동 지하1층 39호,37.5244579,126.9076599,"https://map.naver.com/v5/search/%EB%82%98%EC%B9%B4%EC%A7%80%EB%A7%88/place/1051306491?c=14126933.9162954,4512090.9172882,17,0,0,0,dh"
115,엔트리급,오타루,"40,000","55,000",확인필요,서울 마포구 만리재옛길 32 1층  101호,37.5468425,126.9561923,"https://map.naver.com/v5/search/%EC%98%A4%ED%83%80%EB%A3%A8 %EA%B3%B5%EB%8D%95/place/1433544136?c=14132215.2372185,4515704.9555318,15,0,0,0,dh"
116,엔트리급,스시준,"45,000","80,000",네이버예약,서울 마포구 마포대로12길 57 청솔피아노,37.546194,126.9544936,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%A4%80/place/31737742?c=14132045.6425620,4515515.0572896,15,0,0,0,dh"
117,엔트리급,이요이요스시3,"45,000","70,000",확인필요,서울 마포구 백범로 152 파크자이상가201동 14호1층,37.5451763,126.9475472,"https://map.naver.com/v5/search/%EC%9D%B4%EC%9A%94%EC%9D%B4%EC%9A%94/place/1431823961?c=14131395.9278216,4516066.8370876,14,0,0,0,dh"
118,엔트리급,이요이요스시2,"45,000","75,000",확인필요,서울 마포구 마포대로 58 베스트웨스턴프리미어서울가든호텔,37.5406675,126.9483461,"https://map.naver.com/v5/search/%EC%9D%B4%EC%9A%94%EC%9D%B4%EC%9A%94/place/37123068?c=14131395.9278216,4516066.8370876,14,0,0,0,dh"
119,엔트리급,스시소라 마포,"50,000","100,000",전화,서울 마포구 도화동 563,37.5412413,126.9489446,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%86%8C%EB%9D%BC/place/1712403252?c=14130965.9695374,4514834.2900065,14,0,0,0,dh"
120,엔트리급,스시정미,"100,000(주말)","100,000",전화 / 문자,서울 마포구 백범로 199 2층 203호,37.5434128,126.9528962,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%A0%95%EB%AF%B8/place/1177532179?c=14131861.3963431,4515144.1818213,15,0,0,0,dh"
121,엔트리급,스시가효,"35,000","70,000",전화,서울 마포구 월드컵북로54길 25 상암dmc푸르지오시티 2층 222호,37.5815202,126.8891184,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EA%B0%80%ED%9A%A8/place/1757055158?c=14124421.0489905,4520643.5041562,14,0,0,0,dh"
122,엔트리급,로랑,"38,000","38,000",확인필요,서울 마포구 성지1길 15 1층 로랑,37.5482127,126.9142991,"https://map.naver.com/v5/search/%EB%A1%9C%EB%9E%91/place/1355823267?c=14127574.2541095,4515800.8395469,15,0,0,3,dh&placePath=%3Fentry%253Dbmp"
123,엔트리급,스시마쯔,"35,000","40,000",전화,서울 서대문구 연희로 166 예림빌딩,37.5717736,126.9351453,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%A7%88%EC%AF%94/place/38003033?c=14128620.3082319,4518594.0363353,13,0,0,0,dh"
124,엔트리급,스시히카리,"35,000","85,000",문자/ 카톡/ DM,서울 마포구 홍익로2길 31,37.5549964,126.9241172,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%ED%9E%88%EC%B9%B4%EB%A6%AC/place/37927615?c=14128665.6927175,4516757.1589993,15,0,0,0,dh"
125,엔트리급,나카지마토라에몽,"50,000","88,000",확인필요,서울 마포구 성미산로29길 40-18,37.5653765,126.9225587,"https://map.naver.com/v5/search/%EB%82%98%EC%B9%B4%EC%A7%80%EB%A7%88%ED%86%A0%EB%9D%BC%EC%97%90%EB%AA%BD/place/1479679878?c=14128474.6001468,4518308.5918078,15,0,0,0,dh"
126,엔트리급,스시코미치,"50,000","90,000",캐치테이블,서울 마포구 동교로27길 3-14 1층,37.5580778,126.922528,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%BD%94%EB%AF%B8%EC%B9%98/place/1031280455?c=14128486.8127714,4517189.2650409,15,0,0,0,dh"
127,엔트리급,이요이요스시4,"45,000","70,000",확인필요,서울 마포구 마포대로1길 16 3층,37.5396792,126.9431187,"https://map.naver.com/v5/search/%EC%9D%B4%EC%9A%94%EC%9D%B4%EC%9A%94%EC%8A%A4%EC%8B%9C 4%ED%98%B8/place/1183596654?c=14130779.4428120,4514605.8430752,15,0,0,0,dh"
128,엔트리급,스시치카라,"45,000","80,000",캐치테이블,서울 마포구 성지1길 70 1층 스시치카라,37.5474634,126.9171753,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%B9%98%EC%B9%B4%EB%9D%BC/place/1539405629?c=14127872.6585490,4515786.1698743,15,0,0,0,dh"
129,미들급,스시하쿠초,"60,000","120,000",확인필요,서울 마포구 성지1길 70 1층,37.5474634,126.9171753,https://naver.me/5PZWXUyj
130,미들급,스시미야비,"70,000","120,000",캐치테이블,서울 마포구 포은로2가길 62,37.5495022,126.909903,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%AF%B8%EC%95%BC%EB%B9%84/place/1363561300?c=14127082.9344049,4515983.6074838,15,0,0,0,dh"
131,엔트리급,여래여거, X ,"69,000",문자,서울 서대문구 이화여대길 56-3 1층,37.5593018,126.9452218,"https://map.naver.com/v5/search/%EC%97%AC%EB%9E%98%EC%97%AC%EA%B1%B0/place/1413429954?c=14131014.9370087,4517360.2949256,15,0,0,0,dh"
132,엔트리급,스시소우카이,"35,000","45,000",네이버예약,서울 서대문구 증가로23나길 25 1층,37.5804687,126.9127315,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%86%8C%EC%9A%B0%EC%B9%B4%EC%9D%B4/place/1381613045?c=14127067.6810949,4520395.0838142,13,0,0,0,dh"
133,엔트리급,스시이마,"30,000","50,000",문자,서울 은평구 역말로 49-1,37.6059858,126.9157657,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%9D%B4%EB%A7%88/place/1648210473?c=14127296.9921798,4523925.5190581,14,0,0,0,dh"
134,엔트리급,소야일식,"30,000","58,000",문자(매달 15일~),서울 은평구 불광로14길 4,37.6191926,126.9330171,"https://map.naver.com/v5/search/%EC%86%8C%EC%95%BC%EC%9D%BC%EC%8B%9D/place/1442053229?c=14129188.8086298,4525774.3396798,14,0,0,0,dh"
135,엔트리급,스시온도,"35,000","70,000",네이버예약,서울 은평구 불광천길 536,37.5978723,126.9163772,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%98%A8%EB%8F%84/place/1696006795?c=14127791.4442065,4522788.5182624,15,0,0,0,dh"
136,엔트리급,스시토와,"38,000","90,000",네이버예약,서울 마포구 매봉산로2안길 19-5,37.5774029,126.894625,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%ED%86%A0%EC%99%80/place/1653577036?c=14125266.6336159,4520223.1005006,14,0,0,0,dh"
137,엔트리급,스시쇼부,"35,000","55,000",네이버예약,서울 은평구 은평로13길 11-9,37.6019944,126.9250398,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%87%BC%EB%B6%80/place/1971832408?c=14128768.4049742,4523361.7959745,15,0,0,0,dh"
138,엔트리급,스시희랑,"30,000","50,000",확인필요,서울 양천구 목동동로12길 38 1층 101호,37.5229444,126.8738458,"https://map.naver.com/v5/search/%EB%B0%95%ED%99%8D%EB%82%A8%EC%8A%A4%EC%8B%9C/place/1615282854?c=14123238.6637092,4512175.7146164,15,0,0,0,dh"
139,엔트리급,스시카네(마곡),"35,000","65,000",네이버예약,서울 강서구 강서로 462 1층 112호,37.5665739,126.8413981,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%B9%B4%EB%84%A4/place/1251056496?c=14119034.3869516,4518470.5262971,14.87,0,0,0,dh&entry=plt&placePath=%3Fentry%253Dbmp"
140,엔트리급,토겐,"45,000","85,000",문자,서울 양천구 오목로 300 206동 117호,37.5241644,126.8703368,"https://map.naver.com/v5/search/%ED%86%A0%EA%B2%90/place/1379870597?c=14122766.9039253,4512477.8797439,15,0,0,0,dh"
141,엔트리급,스시사라,"40,000","70,000",확인필요,서울 강서구 마곡동로 55 1층 101호,37.5557391,126.8997031,"https://map.naver.com/v5/entry/place/1069004707?c=14118929.4376387,4517466.8559697,19,0,0,0,dh"
142,엔트리급,이요이요스시1,"45,000","70,000",확인필요,서울 마포구 마포대로 167,37.5458958,126.9515058,"https://map.naver.com/v5/search/%EC%9D%B4%EC%9A%94%EC%9D%B4%EC%9A%94/place/31083209?c=14131395.9278216,4516066.8370876,14,0,0,0,dh"
143,엔트리급,니코리,"29,000","65,000",확인필요,서울 양천구 은행정로6길 22 1층,37.5214626,126.8620243,"https://map.naver.com/v5/search/%EB%8B%88%EC%BD%94%EB%A6%AC/place/1554660398?c=14120881.0591181,4511800.6954464,14,0,0,0,dh"
